      Comparison1   Comparison2  I3D_pcomp_Prediction  I3D_ptarget_Prediction  I3D_pavg_Prediction  I3D_pcomp_MAP_Prediction  I3D_ptarget_MAP_Prediction  I3D_pavg_MAP_Prediction  I3D_pcomp_w_Prediction  I3D_ptarget_w_Prediction  I3D_pavg_w_Prediction  I3D_pcomp_MAP_w_Prediction  I3D_ptarget_MAP_w_Prediction  I3D_pavg_MAP_w_Prediction
87    o4_t1_cs_d1   o4_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
88    o4_t1_cs_d1   o4_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
89    o4_t1_cs_d1   o4_t2_rp_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
90    o4_t1_cs_d1   o4_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
91    o4_t1_cs_d2   o4_t2_ap_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
92    o4_t1_cs_d2   o4_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
93    o4_t1_cs_d2   o4_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
94    o4_t1_cs_d2   o4_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
95    o4_t1_cs_d2   o4_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
96    o4_t1_cs_d2   o4_t2_rp_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
97    o4_t2_ap_d1   o4_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
98    o4_t2_ap_d1   o4_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
99    o4_t2_ap_d1   o4_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
100   o4_t2_ap_d1   o4_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
101   o4_t2_ap_d1   o4_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
102   o4_t2_ap_d2   o4_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
103   o4_t2_ap_d2   o4_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
104   o4_t2_ap_d2   o4_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
105   o4_t2_ap_d2   o4_t2_rp_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
106   o4_t2_mf_d1   o4_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
107   o4_t2_mf_d1   o4_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
108   o4_t2_mf_d1   o4_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
109   o4_t2_mf_d2   o4_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
110   o4_t2_mf_d2   o4_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
111   o4_t2_rp_d1   o4_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
112   o5_t1_cs_d1   o5_t1_cs_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
113   o5_t1_cs_d1   o5_t2_ap_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
114   o5_t1_cs_d1   o5_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
115   o5_t1_cs_d1   o5_t2_mf_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
116   o5_t1_cs_d1   o5_t2_mf_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
117   o5_t1_cs_d1   o5_t2_rp_d1                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
118   o5_t1_cs_d1   o5_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
119   o5_t1_cs_d2   o5_t2_ap_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
120   o5_t1_cs_d2   o5_t2_ap_d2                     1                       0                    1                         1                           0                        1                       1                         0                      1                           1                             0                          1
121   o5_t1_cs_d2   o5_t2_mf_d1                     1                       0                    1                         1                           0                        1                       1                         0                      1                           1                             0                          1
122   o5_t1_cs_d2   o5_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
123   o5_t1_cs_d2   o5_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
124   o5_t1_cs_d2   o5_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
125   o5_t2_ap_d1   o5_t2_ap_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
126   o5_t2_ap_d1   o5_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
127   o5_t2_ap_d1   o5_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
128   o5_t2_ap_d1   o5_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
129   o5_t2_ap_d1   o5_t2_rp_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
130   o5_t2_ap_d2   o5_t2_mf_d1                     1                       0                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
131   o5_t2_ap_d2   o5_t2_mf_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
132   o5_t2_ap_d2   o5_t2_rp_d1                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
133   o5_t2_ap_d2   o5_t2_rp_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
134   o5_t2_mf_d1   o5_t2_mf_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
135   o5_t2_mf_d1   o5_t2_rp_d1                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
136   o5_t2_mf_d1   o5_t2_rp_d2                     0                       1                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
137   o5_t2_mf_d2   o5_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
138   o5_t2_mf_d2   o5_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
139   o5_t2_rp_d1   o5_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
140   o6_t1_cs_d1   o6_t1_cs_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
141   o6_t1_cs_d1   o6_t2_ap_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
142   o6_t1_cs_d1   o6_t2_ap_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
143   o6_t1_cs_d1   o6_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
144   o6_t1_cs_d1   o6_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
145   o6_t1_cs_d1   o6_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
146   o6_t1_cs_d1   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
